ID,"Appointment date",Employee,"Customer name","Customer phone","Customer email",Service,Duration,Status,Payment,Notes,Created,"Customer address","Customer birthday","Online meeting"
141,"October 15, 2024 2:30 pm","Nick Knight","John Smith",+14065551216,john.smith@example.com,"Crown and Bridge","1 h",Approved,,,"October 10, 2024 2:00 pm",,,
142,"October 15, 2024 9:00 am","Bradley Tannen","John Smith",+14065551216,john.smith@example.com,"Crown and Bridge","1 h",Pending,,,"October 10, 2024 2:00 pm",,,
143,"October 16, 2024 8:15 am","Marry Murphy","Mike Boddington",+14065551214,mike.bodding@example.com,Dentures,"2 h",Approved,,,"October 10, 2024 2:00 pm",,,
1,"October 14, 2024 8:00 am","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Crown and Bridge","1 h",Approved,"$350.00 PayPal Completed",,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
2,"October 14, 2024 11:00 am","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Root Canal Treatment","1 h",Approved,,,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
3,"October 14, 2024 2:00 pm","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Orthodontics (braces)","3 h 30 min",Approved,,,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
4,"October 15, 2024 8:30 am","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Wisdom tooth Removal","2 h",Approved,"$330.00 PayPal Completed",,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
5,"October 15, 2024 1:00 pm","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Wisdom tooth Removal","1 h",Approved,,,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
6,"October 16, 2024 9:00 am","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Root Canal Treatment","1 h",Approved,,,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
7,"October 16, 2024 10:00 am","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Wisdom tooth Removal","2 h",Approved,,,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
8,"October 16, 2024 5:00 pm","Nick Knight","Peter White",+14065551212,peter.white@example.com,"Crown and Bridge","1 h",Approved,,,"October 10, 2024 2:00 pm","United States, , 10019, New York, West Street 53, , ",,
